Date,Meters,Celsius,X,Y,Z
17:16:3,96.25,25.81,339,334,432
17:16:4,96.37,25.81,339,335,431
17:16:5,96.31,25.81,339,334,432
17:16:6,96.31,25.81,339,334,431
17:16:7,96.31,25.81,339,335,431
17:16:8,96.18,25.81,339,334,431
17:16:9,96.37,25.81,339,334,432
17:16:10,96.31,25.81,339,335,431
17:16:11,96.50,25.81,339,334,432
17:16:12,96.0,25.81,339,334,432
17:16:13,96.25,25.81,339,334,431
17:16:14,96.12,25.81,339,334,432
17:16:15,96.25,25.81,339,334,431
17:16:16,96.12,25.81,339,335,431
17:16:17,96.43,25.81,339,334,432
17:16:18,96.18,25.81,339,335,431
17:16:19,96.25,25.81,339,334,431
17:16:20,96.12,25.81,339,334,432
17:16:21,96.25,25.81,339,334,432
17:16:22,95.93,25.81,339,334,432
17:16:23,96.6,25.81,339,334,432
17:16:24,96.18,25.81,339,334,432
17:16:25,96.37,25.81,339,334,432
17:16:26,96.6,25.81,339,334,432
17:16:27,96.0,25.81,339,334,432
17:16:28,96.18,25.81,339,334,432
17:16:29,96.12,25.81,339,334,432
17:16:30,96.25,25.81,339,334,432
17:16:31,96.25,25.81,339,334,432
17:16:32,96.18,25.81,339,334,432
17:16:33,95.93,25.81,339,334,432
17:16:34,96.0,25.81,339,334,431
17:16:35,96.12,25.81,339,334,432
17:16:36,96.0,25.81,339,334,432
17:16:37,96.6,25.81,339,334,432
17:16:38,96.0,25.81,339,335,431
17:16:39,96.6,25.75,339,334,432
17:16:40,96.6,25.81,339,334,432
17:16:41,96.6,25.81,339,334,431
17:16:42,96.43,25.75,339,334,432
17:16:43,96.12,25.75,339,334,432
17:16:44,96.6,25.75,339,334,432
17:16:45,96.12,25.75,339,334,432
17:16:46,96.31,25.75,339,334,432
17:16:47,96.43,25.75,339,334,432
17:16:48,96.0,25.75,339,334,432
17:16:49,96.12,25.75,339,334,432
17:16:50,96.18,25.75,339,334,431
17:16:51,96.37,25.75,339,334,432
17:16:52,96.50,25.75,339,334,432
17:16:53,96.25,25.75,339,335,431
17:16:54,96.25,25.75,339,336,430
17:16:55,96.37,25.75,339,334,432
17:16:56,96.25,25.75,339,335,432
17:16:57,95.81,25.75,339,334,432
17:16:58,96.12,25.75,339,334,432
17:16:59,96.43,25.75,339,334,432
17:17:0,96.18,25.75,339,334,432
17:17:1,96.37,25.75,339,334,431
17:17:2,96.25,25.75,339,334,432
17:17:3,96.50,25.75,339,334,432
17:17:4,96.31,25.75,339,335,431
17:17:4,96.25,25.75,339,334,432
17:17:5,96.31,25.75,339,334,432
17:17:6,96.37,25.75,339,335,432
17:17:7,96.37,25.75,339,334,431
17:17:8,96.6,25.75,339,334,432
17:17:9,96.12,25.75,339,335,432
17:17:10,96.0,25.75,339,335,431
17:17:11,96.25,25.75,339,334,432
17:17:12,96.43,25.75,339,335,432
17:17:13,96.50,25.75,339,334,432
17:17:14,96.43,25.75,339,334,432
17:17:15,96.50,25.75,339,335,432
17:17:16,96.43,25.75,339,334,432
17:17:17,96.25,25.75,339,334,432
17:17:18,96.37,25.75,339,334,432
17:17:19,96.43,25.75,339,335,431
17:17:20,96.37,25.75,339,334,432
17:17:21,96.62,25.75,339,335,432
17:17:22,96.43,25.75,339,335,431
17:17:23,96.31,25.75,339,334,432
17:17:24,96.31,25.75,339,334,432
17:17:25,96.37,25.75,339,335,431
17:17:26,96.18,25.75,339,334,432
17:17:27,96.75,25.75,339,334,432
17:17:28,96.12,25.75,339,335,431
17:17:29,96.12,25.75,339,334,432
17:17:30,96.37,25.75,339,334,432
